Size,U \%,O \%,D,FO,Instance,RT,,SD,RT,,SD,RT,,SD,gen,conv
9,80,85,Euclidean,Equal,5,0,$\pm$,0,0,$\pm$,0,3,$\pm$,6.32,1.11,100
9,80,85,Euclidean,Random,1,0,$\pm$,0,0,$\pm$,0,7.6,$\pm$,8.02,2.67,100
9,80,85,Euclidean,Random,2,0,$\pm$,0,0.23,$\pm$,1.85,7.5,$\pm$,7.91,2.56,100
9,80,85,Euclidean,Random,3,0,$\pm$,0,0.12,$\pm$,1.32,3,$\pm$,6.32,1,100
9,80,85,Euclidean,Random,4,0,$\pm$,0,0,$\pm$,0,6,$\pm$,7.75,1,100
9,80,85,Euclidean,Random,5,0,$\pm$,0,0,$\pm$,0,4.5,$\pm$,7.25,1,100
9,95,0,Chebyshev,Equal,1,0,$\pm$,0,0,$\pm$,0,57.5,$\pm$,30.4,22.33,100
9,95,0,Chebyshev,Equal,2,0,$\pm$,0,0.47,$\pm$,2.6,10576.8,$\pm$,133.7,3000,0
9,95,0,Chebyshev,Equal,3,0,$\pm$,0,0.23,$\pm$,1.85,8195.2,$\pm$,1649.78,2800,10
9,95,0,Chebyshev,Equal,4,0,$\pm$,0,0.12,$\pm$,1.32,9,$\pm$,7.75,2.33,100
9,95,0,Chebyshev,Equal,5,0,$\pm$,0,0,$\pm$,0,9,$\pm$,7.75,2.11,100
9,95,0,Chebyshev,Random,1,0,$\pm$,0,0.23,$\pm$,1.85,1658.2,$\pm$,1434.82,862.33,100
9,95,0,Chebyshev,Random,2,0,$\pm$,0,0,$\pm$,0,21.7,$\pm$,8.01,6.67,100
9,95,0,Chebyshev,Random,3,0,$\pm$,0,0,$\pm$,0,6,$\pm$,7.75,2.33,100
9,95,0,Chebyshev,Random,4,0,$\pm$,0,0,$\pm$,0,1174.8,$\pm$,827.23,571.11,100
9,95,0,Chebyshev,Random,5,0,$\pm$,0,0,$\pm$,0,3,$\pm$,6.32,1,100
9,95,0,Euclidean,Equal,1,0,$\pm$,0,0,$\pm$,0,149.6,$\pm$,136.25,47.22,100
9,95,0,Euclidean,Equal,2,0,$\pm$,0,0,$\pm$,0,34.1,$\pm$,14.25,13.56,100
9,95,0,Euclidean,Equal,3,0,$\pm$,0,0.12,$\pm$,1.32,3843.4,$\pm$,3156,1293.33,90
9,95,0,Euclidean,Equal,4,0,$\pm$,0,0,$\pm$,0,48.3,$\pm$,28.08,17.67,100
9,95,0,Euclidean,Equal,5,0,$\pm$,0,0,$\pm$,0,9986.2,$\pm$,99.12,3000,0
9,95,0,Euclidean,Random,1,0,$\pm$,0,0,$\pm$,0,1.5,$\pm$,4.74,1,100
9,95,0,Euclidean,Random,2,0,$\pm$,0,0,$\pm$,0,10625.5,$\pm$,99.15,3000,0
9,95,0,Euclidean,Random,3,0,$\pm$,0,0.12,$\pm$,1.32,7672.7,$\pm$,75.54,3000,0
9,95,0,Euclidean,Random,4,0,$\pm$,0,0,$\pm$,0,1.5,$\pm$,4.74,1,100
9,95,0,Euclidean,Random,5,0,$\pm$,0,0.12,$\pm$,1.32,7971.9,$\pm$,68.88,3000,0
9,95,50,Chebyshev,Equal,1,0,$\pm$,0,0,$\pm$,0,9.2,$\pm$,7.93,2.78,100
9,95,50,Chebyshev,Equal,2,0,$\pm$,0,0.23,$\pm$,1.85,4.5,$\pm$,7.25,2.56,100
9,95,50,Chebyshev,Equal,3,0,$\pm$,0,0,$\pm$,0,4.5,$\pm$,7.25,1,100
9,95,50,Chebyshev,Equal,4,0,$\pm$,0,0,$\pm$,0,7.6,$\pm$,8.02,2.56,100
9,95,50,Chebyshev,Equal,5,0,$\pm$,0,0.12,$\pm$,1.32,9.1,$\pm$,7.84,2.56,100
9,95,50,Chebyshev,Random,1,0,$\pm$,0,0.12,$\pm$,1.32,7.7,$\pm$,8.12,2.44,100
9,95,50,Chebyshev,Random,2,0,$\pm$,0,0,$\pm$,0,3,$\pm$,6.32,2.11,100
9,95,50,Chebyshev,Random,3,0,$\pm$,0,0.12,$\pm$,1.32,9,$\pm$,7.75,1.33,100
9,95,50,Chebyshev,Random,4,0,$\pm$,0,0.12,$\pm$,1.32,3,$\pm$,6.32,1,100
9,95,50,Chebyshev,Random,5,0,$\pm$,0,0.12,$\pm$,1.32,7.5,$\pm$,7.91,1.78,100
9,95,50,Euclidean,Equal,1,0,$\pm$,0,0,$\pm$,0,1.6,$\pm$,5.06,1,100
9,95,50,Euclidean,Equal,2,0,$\pm$,0,0.12,$\pm$,1.32,6,$\pm$,7.75,2.11,100
9,95,50,Euclidean,Equal,3,0,$\pm$,0,0.01,$\pm$,0.09,6,$\pm$,7.75,1,100
9,95,50,Euclidean,Equal,4,0,$\pm$,0,0.12,$\pm$,1.32,124.8,$\pm$,97.08,63.89,100
9,95,50,Euclidean,Equal,5,0,$\pm$,0,0,$\pm$,0,4.5,$\pm$,7.25,1.11,100
9,95,50,Euclidean,Random,1,0,$\pm$,0,0,$\pm$,0,1.5,$\pm$,4.74,1,100
9,95,50,Euclidean,Random,2,0,$\pm$,0,0.23,$\pm$,1.85,3,$\pm$,6.32,1,100
9,95,50,Euclidean,Random,3,0,$\pm$,0,0,$\pm$,0,3,$\pm$,6.32,1,100
9,95,50,Euclidean,Random,4,0,$\pm$,0,0.12,$\pm$,1.32,4.5,$\pm$,7.25,2.11,100
9,95,50,Euclidean,Random,5,0,$\pm$,0,0,$\pm$,0,102.8,$\pm$,69.38,51.11,100
9,95,85,Chebyshev,Equal,1,0,$\pm$,0,0,$\pm$,0,0,$\pm$,0,1,100
9,95,85,Chebyshev,Equal,2,0,$\pm$,0,0,$\pm$,0,4.5,$\pm$,7.25,1,100
9,95,85,Chebyshev,Equal,3,0,$\pm$,0,0,$\pm$,0,4.5,$\pm$,7.25,1,100
9,95,85,Chebyshev,Equal,4,0,$\pm$,0,0,$\pm$,0,3,$\pm$,6.32,1,100
9,95,85,Chebyshev,Equal,5,0,$\pm$,0,0,$\pm$,0,4.5,$\pm$,7.25,1,100
9,95,85,Chebyshev,Random,1,0,$\pm$,0,0,$\pm$,0,3,$\pm$,6.32,1.56,100
9,95,85,Chebyshev,Random,2,0,$\pm$,0,0,$\pm$,0,3,$\pm$,6.32,1,100
9,95,85,Chebyshev,Random,3,0,$\pm$,0,0,$\pm$,0,4.5,$\pm$,7.25,1,100
9,95,85,Chebyshev,Random,4,0,$\pm$,0,0,$\pm$,0,4.5,$\pm$,7.25,1,100
9,95,85,Chebyshev,Random,5,0,$\pm$,0,0,$\pm$,0,4.5,$\pm$,7.25,1,100
9,95,85,Euclidean,Equal,1,0,$\pm$,0,0,$\pm$,0,4.5,$\pm$,7.25,1,100
9,95,85,Euclidean,Equal,2,0,$\pm$,0,0,$\pm$,0,3,$\pm$,6.32,1,100
9,95,85,Euclidean,Equal,3,0,$\pm$,0,0,$\pm$,0,4.5,$\pm$,7.25,1,100
9,95,85,Euclidean,Equal,4,0,$\pm$,0,0,$\pm$,0,0,$\pm$,0,1,100
9,95,85,Euclidean,Equal,5,0,$\pm$,0,0,$\pm$,0,1.5,$\pm$,4.74,1,100
9,95,85,Euclidean,Random,1,0,$\pm$,0,0,$\pm$,0,4.5,$\pm$,7.25,1,100
9,95,85,Euclidean,Random,2,0,$\pm$,0,0.12,$\pm$,1.32,3,$\pm$,6.32,1.78,100
9,95,85,Euclidean,Random,3,0,$\pm$,0,0.12,$\pm$,1.32,0,$\pm$,0,1,100
9,95,85,Euclidean,Random,4,0,$\pm$,0,0.12,$\pm$,1.32,3,$\pm$,6.32,1,100
9,95,85,Euclidean,Random,5,0,$\pm$,0,0.23,$\pm$,1.85,1.5,$\pm$,4.74,1,100
100,50,0,Chebyshev,Equal,1,0.8,$\pm$,0.4,0.85,$\pm$,1.28,500122.9,$\pm$,10533.14,3000,0
100,50,0,Chebyshev,Equal,2,0.4,$\pm$,0.49,0.91,$\pm$,1.1,487327.5,$\pm$,1348.36,3000,0
100,50,0,Chebyshev,Equal,3,0.6,$\pm$,0.49,0.93,$\pm$,1.32,513147.2,$\pm$,3288.53,3000,0
100,50,0,Chebyshev,Equal,4,0.2,$\pm$,0.4,0.87,$\pm$,1.21,420825.9,$\pm$,1085.42,3000,0
100,50,0,Chebyshev,Equal,5,1,$\pm$,0,1.54,$\pm$,1.49,840566.2,$\pm$,28265.63,3000,0
100,50,0,Chebyshev,Random,1,0.4,$\pm$,0.49,0.51,$\pm$,0.54,90.4,$\pm$,16.92,1,100
100,50,0,Chebyshev,Random,2,0.6,$\pm$,0.49,0.5,$\pm$,0.5,95.9,$\pm$,14.35,1,100
100,50,0,Chebyshev,Random,3,0.8,$\pm$,0.4,0.56,$\pm$,0.51,355.3,$\pm$,113.47,5.56,100
100,50,0,Chebyshev,Random,4,0.6,$\pm$,0.49,0.57,$\pm$,0.49,91.2,$\pm$,11.68,1,100
100,50,0,Chebyshev,Random,5,0.6,$\pm$,0.49,0.6,$\pm$,0.53,98.2,$\pm$,14.31,1,100
100,50,0,Euclidean,Equal,1,0.4,$\pm$,0.49,1,$\pm$,1.09,445252.4,$\pm$,26997.46,3000,0
100,50,0,Euclidean,Equal,2,1,$\pm$,0,1.25,$\pm$,1.51,436798.1,$\pm$,156955.12,2680,11.11
100,50,0,Euclidean,Equal,3,0.6,$\pm$,0.49,0.91,$\pm$,1.07,241251.6,$\pm$,238551.95,1715.67,44.44
100,50,0,Euclidean,Equal,4,0.4,$\pm$,0.49,0.92,$\pm$,1.11,481013.1,$\pm$,13617.32,3000,0
100,50,0,Euclidean,Equal,5,0.8,$\pm$,0.4,0.93,$\pm$,1.17,482743.4,$\pm$,27659.57,3000,0
100,50,0,Euclidean,Random,1,0.6,$\pm$,0.49,0.47,$\pm$,0.5,101.5,$\pm$,8.48,1,100
100,50,0,Euclidean,Random,2,0.6,$\pm$,0.49,0.63,$\pm$,0.58,117.2,$\pm$,28.63,1,100
100,50,0,Euclidean,Random,3,0.4,$\pm$,0.49,0.55,$\pm$,0.5,115.9,$\pm$,18.36,1,100
100,50,0,Euclidean,Random,4,0.6,$\pm$,0.49,0.53,$\pm$,0.5,98.6,$\pm$,9.31,1,100
