Scenario,Fitness,Time (ms),Best Generation,Seed,p,pe,pm,rhoe,K,MAX_GENS,X_INTVL,X_NUMBER
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,48,1,2015675687,29,0.546,0.1696,0.3175,1,1418,202,2
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,425,1,2015675687,60,0.3308,0.118,0.3065,2,2179,279,4
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,132,1,2015675687,55,0.7051,0.1893,0.3987,3,924,205,5
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,174,1,2015675687,80,0.277,0.4097,0.9923,4,330,179,4
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,318,1,2015675687,67,0.3239,0.267,0.5594,4,747,198,5
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,34,1,2015675687,34,0.5396,0.3081,0.0845,1,876,254,5
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,50,1,2015675687,13,0.1708,0.304,0.2572,1,1970,284,2
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,53,1,2015675687,41,0.7262,0.2187,0.9152,1,1576,88,3
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,131,1,2015675687,100,0.5411,0.002,0.8944,4,275,50,5
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,590,1,2015675687,98,0.7199,0.1305,0.746,4,1807,282,4
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,147,1,2015675687,64,0.5399,0.3855,0.6985,2,1022,125,4
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,117,1,2015675687,40,0.6562,0.1259,0.952,2,1550,270,2
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,227,1,2015675687,39,0.1311,0.1734,0.8117,1,2886,141,3
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,423,1,2015675687,60,0.5409,0.1861,0.5322,3,2019,113,3
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,247,1,2015675687,63,0.5494,0.1153,0.5415,4,842,117,5
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,296,1,2015675687,55,0.1506,0.473,0.1703,4,727,44,2
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,568,1,2015675687,81,0.1525,0.4367,0.5998,3,1227,225,2
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,85,1,2015675687,89,0.527,0.0679,0.4198,1,758,76,4
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,245,1,2015675687,53,0.5519,0.2252,0.1577,4,1037,52,3
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,320,1,2015675687,86,0.5704,0.2478,0.6331,2,1562,153,2
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,139,1,2015675687,76,0.5274,0.3711,0.8341,1,1598,208,4
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,49,1,2015675687,71,0.556,0.2851,0.3763,1,640,286,4
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,70,1,2015675687,14,0.3306,0.1089,0.8768,2,1573,180,2
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,28,1,2015675687,18,0.4836,0.4038,0.4228,1,1149,196,3
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,211,1,2015675687,52,0.1189,0.7363,0.5684,1,2189,252,2
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,37,1,2015675687,34,0.7289,0.0849,0.7683,1,1346,239,3
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,169,1,2015675687,82,0.7466,0.0529,0.8604,1,2587,267,5
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,68,1,2015675687,39,0.9312,0.0633,0.2554,2,2092,82,3
